wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04019519_04024979.wav|The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04017119_04024979.wav|no, let's start there differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04017629_04024979.wav|let's start there differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04018049_04024979.wav|there differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04018169_04024979.wav|differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04017119_04024979.wav|or no, let's start there differently.  The Marshall islands are in the middle of the Pacific about as remote as one can get.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04025099_04033049.wav|And they are strewn with remote atolls with very few people living on them or some actually totally uninhabited.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04033529_04041089.wav|So I can't wait to get ready with all this preparation work so we can explore these treasures in the middle of the ocean.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04064550_04068720.wav|I'm really looking forward to exploring the remote islands of the modules.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04089990_04096950.wav|was okay. Just a minute.  I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04090650_04091850.wav|okay.  Just a minute.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04085100_04091850.wav|places fire was okay.  Just a minute.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04085700_04091850.wav|fire was okay.  Just a minute.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04089990_04091850.wav|was okay.  Just a minute.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04090650_04096950.wav|okay. Just a minute.  I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04092420_04096950.wav|I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04091070_04096950.wav|a minute.  I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04091430_04096950.wav|minute.  I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04091070_04096950.wav|Just a minute.  I'm also looking forward to exploring the remote atolls of the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04093470_04099890.wav|to exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04092420_04099890.wav|I'm also looking forward to exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04093620_04099890.wav|exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04093140_04099890.wav|forward to exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04092900_04099890.wav|looking forward to exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04092630_04099890.wav|also looking forward to exploring the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095360_04099890.wav|atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095900_04099890.wav|the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04094220_04099890.wav|the remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04098029_04102830.wav|people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095900_04102830.wav|the marshals. Very few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095900_04099890.wav|of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04094760_04099890.wav|remote atolls of the marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04099050_04102830.wav|to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04096140_04102830.wav|marshals. Very few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04099890_04102830.wav|Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095360_04102830.wav|atolls of the marshals. Very few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04097520_04099890.wav|Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04096140_04099890.wav|marshals.  Very few people get a chance to see these.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04099050_04102830.wav|see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04097520_04102830.wav|Very few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04097520_04102830.wav|Very few people get a chance to see these. Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04098330_04102830.wav|a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04098330_04102830.wav|get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04099470_04102830.wav|these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04097819_04102830.wav|few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04098600_04102830.wav|chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04095900_04102830.wav|of the marshals. Very few people get a chance to see these.  Oh my god.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04108170_04113540.wav|very few people get a chance to sail in these faraway places.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04119750.wav|I I don't know I'm not good at this stupid talk.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04112790_04119750.wav|places.  I I don't know I'm not good at this stupid talk.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04112160_04119750.wav|faraway places.  I I don't know I'm not good at this stupid talk.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118370_04121040.wav|this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118250_04121460.wav|at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121460.wav|I I don't know I'm not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117529_04121460.wav|know I'm not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118700_04121040.wav|stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117710_04121460.wav|I'm not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119390_04121040.wav|talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117710_04121040.wav|I'm not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119750_04121460.wav|This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121460.wav|I don't know I'm not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118370_04121460.wav|this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121460.wav|I I don't know I'm not good at this stupid talk. This is your apartment. Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119750_04121460.wav|This is your apartment. Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119750_04121040.wav|This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117319_04121040.wav|don't know I'm not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121040.wav|I I don't know I'm not good at this stupid talk. This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121040.wav|I I don't know I'm not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118250_04121040.wav|at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119960_04121460.wav|is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118100_04121460.wav|good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118100_04121040.wav|good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117529_04121040.wav|know I'm not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04114800_04121040.wav|I don't know I'm not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117319_04121460.wav|don't know I'm not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117890_04121460.wav|not good at this stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04117890_04121040.wav|not good at this stupid talk.  This is your apartment.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04120439_04121460.wav|apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04119390_04121460.wav|talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04120080_04121460.wav|your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04118700_04121460.wav|stupid talk. This is your apartment.  Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04137600_04141740.wav|I'm also looking forward to seeing the remote tolls off the marshals.
wavs/2-9-18 clem first interview in aft cabin_1.wav-04149660_04155450.wav|full of abandoned wildlife.  I can't wait to explore dive and wonder.
